epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,11093.3,1.39531,0.5261,0.91982,0.83775,0.7751,0.85346,0.52606,1.36067,0.52477,0.91016,0.0003565,0.0003565,0.0003565
80,11247.1,1.3975,0.52956,0.91815,0.84734,0.77136,0.85392,0.52831,1.35834,0.52478,0.90872,0.00034825,0.00034825,0.00034825
81,11387,1.38639,0.52235,0.91838,0.85184,0.77174,0.85504,0.52793,1.35861,0.52679,0.90906,0.00034,0.00034,0.00034
82,11527.2,1.39598,0.5252,0.92118,0.84423,0.7774,0.85756,0.5288,1.35338,0.52494,0.90864,0.00033175,0.00033175,0.00033175
83,11667.1,1.38169,0.51921,0.91587,0.84752,0.77345,0.8556,0.52861,1.35048,0.5248,0.90797,0.0003235,0.0003235,0.0003235
84,11807.1,1.39076,0.5231,0.91776,0.84669,0.77714,0.85513,0.52822,1.35168,0.52162,0.90993,0.00031525,0.00031525,0.00031525
85,11947.7,1.38052,0.51806,0.91547,0.84217,0.77629,0.85388,0.52915,1.35084,0.52056,0.90975,0.000307,0.000307,0.000307
86,12101.4,1.38421,0.52095,0.91689,0.84382,0.77599,0.85415,0.52912,1.35472,0.52027,0.91037,0.00029875,0.00029875,0.00029875
87,12246.2,1.38619,0.52007,0.91477,0.8423,0.78144,0.85616,0.52951,1.35468,0.52086,0.90957,0.0002905,0.0002905,0.0002905
88,12393,1.37537,0.51476,0.91086,0.84916,0.77834,0.85635,0.52997,1.35456,0.52059,0.90906,0.00028225,0.00028225,0.00028225
89,12546.1,1.37313,0.51486,0.91483,0.85235,0.77785,0.85836,0.52913,1.35612,0.51996,0.90979,0.000274,0.000274,0.000274
90,12688.4,1.36968,0.51259,0.91378,0.84991,0.77808,0.8575,0.53003,1.35751,0.52061,0.9106,0.00026575,0.00026575,0.00026575
91,12828,1.3623,0.50821,0.90975,0.84667,0.78071,0.85698,0.52971,1.35939,0.52055,0.91137,0.0002575,0.0002575,0.0002575
92,12968.3,1.36648,0.50897,0.91115,0.84813,0.77919,0.8577,0.53029,1.3592,0.52013,0.91165,0.00024925,0.00024925,0.00024925
93,13107.5,1.37001,0.51141,0.91316,0.84773,0.77942,0.8587,0.53017,1.35697,0.52063,0.91159,0.000241,0.000241,0.000241
94,13248.3,1.35869,0.50801,0.91197,0.84379,0.77919,0.85755,0.52963,1.35597,0.51997,0.91153,0.00023275,0.00023275,0.00023275
95,13387.8,1.37097,0.50745,0.91266,0.85569,0.77336,0.85818,0.52998,1.35654,0.5204,0.91127,0.0002245,0.0002245,0.0002245
96,13527.9,1.36483,0.50877,0.9118,0.86484,0.76872,0.85823,0.52984,1.35859,0.52098,0.91202,0.00021625,0.00021625,0.00021625
97,13667.9,1.36168,0.50718,0.91025,0.86068,0.76935,0.85694,0.52928,1.3598,0.52103,0.91203,0.000208,0.000208,0.000208
98,13807.1,1.35932,0.50636,0.91036,0.85177,0.7783,0.85833,0.52912,1.36065,0.51994,0.91217,0.00019975,0.00019975,0.00019975
99,13948.1,1.34802,0.50165,0.9076,0.85393,0.77517,0.85722,0.52962,1.35946,0.51993,0.91199,0.0001915,0.0001915,0.0001915
100,14087.7,1.34283,0.49735,0.90637,0.8546,0.77584,0.85725,0.52977,1.35877,0.51929,0.91147,0.00018325,0.00018325,0.00018325
101,14227.6,1.34853,0.50221,0.90978,0.85655,0.77472,0.85714,0.52889,1.35766,0.51929,0.91121,0.000175,0.000175,0.000175
102,14367.3,1.34745,0.49894,0.90773,0.85716,0.77293,0.85701,0.52912,1.35663,0.51801,0.91176,0.00016675,0.00016675,0.00016675
103,14507,1.3562,0.502,0.90711,0.85605,0.77159,0.85749,0.53016,1.3574,0.5176,0.91204,0.0001585,0.0001585,0.0001585
104,14647,1.34166,0.49812,0.9033,0.85971,0.76913,0.85665,0.5292,1.35722,0.51843,0.91236,0.00015025,0.00015025,0.00015025
105,14786.5,1.34771,0.49736,0.90602,0.8594,0.7689,0.85682,0.52974,1.35738,0.51833,0.9122,0.000142,0.000142,0.000142
106,14926.6,1.34236,0.49564,0.90577,0.86053,0.76868,0.85655,0.52962,1.35788,0.51937,0.91216,0.00013375,0.00013375,0.00013375
107,15066.2,1.34012,0.49404,0.90345,0.86026,0.7689,0.85633,0.52959,1.35821,0.52019,0.91221,0.0001255,0.0001255,0.0001255
108,15205.9,1.33832,0.49412,0.90347,0.8596,0.76868,0.85629,0.52967,1.35749,0.52037,0.9122,0.00011725,0.00011725,0.00011725
109,15345.9,1.33557,0.49404,0.90379,0.85784,0.76957,0.85659,0.52968,1.35687,0.52074,0.91205,0.000109,0.000109,0.000109
110,15485.4,1.33373,0.49071,0.90436,0.85954,0.76936,0.85675,0.53014,1.35774,0.51974,0.91207,0.00010075,0.00010075,0.00010075
111,15639.4,1.26503,0.45193,0.89021,0.85276,0.77092,0.85638,0.52998,1.35642,0.51995,0.91196,9.25e-05,9.25e-05,9.25e-05
112,15777.8,1.25037,0.4467,0.88574,0.85774,0.76756,0.85588,0.52973,1.35694,0.52027,0.91194,8.425e-05,8.425e-05,8.425e-05
