epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,2112.76,0.59618,0.33244,0.85093,0.99727,0.9957,0.99476,0.88475,0.58679,0.28165,0.847,0.000863116,0.000863116,0.000863116
82,2138.76,0.59174,0.32854,0.85182,0.99458,0.99792,0.99499,0.87485,0.59188,0.28042,0.8487,0.000856042,0.000856042,0.000856042
83,2164.77,0.59516,0.32788,0.8555,0.99555,0.99875,0.99497,0.87687,0.59665,0.28252,0.85207,0.000848969,0.000848969,0.000848969
84,2190.84,0.60065,0.3305,0.85625,0.99875,0.99771,0.99495,0.87036,0.61708,0.29091,0.86167,0.000841895,0.000841895,0.000841895
85,2216.78,0.60112,0.3283,0.85499,0.99779,0.99904,0.99496,0.87868,0.58976,0.28289,0.85422,0.000834822,0.000834822,0.000834822
86,2242.82,0.61442,0.33349,0.85929,0.99722,0.9975,0.995,0.8732,0.60215,0.28225,0.86249,0.000827748,0.000827748,0.000827748
87,2269.4,0.58417,0.32558,0.84938,0.99703,0.99841,0.99498,0.8781,0.59863,0.28419,0.85404,0.000820675,0.000820675,0.000820675
88,2295.79,0.58567,0.32443,0.84924,0.99819,0.99875,0.995,0.88527,0.58796,0.27464,0.84938,0.000813601,0.000813601,0.000813601
89,2322,0.58382,0.32413,0.85118,0.9956,1,0.99494,0.86665,0.62145,0.28832,0.86692,0.000806528,0.000806528,0.000806528
90,2348.01,0.57918,0.3216,0.84933,0.99913,0.99857,0.995,0.8817,0.58908,0.27377,0.8477,0.000799454,0.000799454,0.000799454
91,2373.86,0.58121,0.32072,0.84966,0.9995,0.99719,0.995,0.87542,0.60738,0.27882,0.86277,0.00079238,0.00079238,0.00079238
92,2399.88,0.58277,0.32038,0.8488,0.99922,0.99875,0.995,0.88313,0.58846,0.2766,0.85218,0.000785307,0.000785307,0.000785307
93,2425.93,0.58271,0.31677,0.85106,0.99798,0.99875,0.99496,0.87617,0.61087,0.28015,0.86254,0.000778233,0.000778233,0.000778233
94,2452.03,0.57635,0.31561,0.84784,0.99662,0.99501,0.99499,0.8819,0.59313,0.27822,0.85648,0.00077116,0.00077116,0.00077116
95,2478.23,0.57478,0.31683,0.84448,0.99905,0.9998,0.995,0.88161,0.58653,0.27685,0.85053,0.000764086,0.000764086,0.000764086
96,2504.42,0.57579,0.32071,0.84912,0.99864,0.99977,0.995,0.87782,0.60456,0.28059,0.85503,0.000757013,0.000757013,0.000757013
97,2530.7,0.56925,0.30958,0.84503,0.99812,0.99974,0.995,0.88592,0.58066,0.27134,0.84926,0.000749939,0.000749939,0.000749939
98,2557.01,0.57029,0.31461,0.8478,0.99868,0.9982,0.995,0.88337,0.57967,0.27153,0.85149,0.000742866,0.000742866,0.000742866
99,2582.96,0.5676,0.31676,0.84955,0.99571,1,0.99499,0.8759,0.61047,0.27659,0.85951,0.000735792,0.000735792,0.000735792
100,2608.96,0.56709,0.3119,0.84258,0.99872,0.99978,0.995,0.8887,0.56456,0.26279,0.84465,0.000728719,0.000728719,0.000728719
101,2634.75,0.56891,0.31064,0.85032,0.99186,1,0.99493,0.86838,0.61184,0.28304,0.86145,0.000721645,0.000721645,0.000721645
102,2660.72,0.5649,0.31304,0.84402,0.99579,1,0.995,0.87888,0.58405,0.27149,0.85379,0.000714571,0.000714571,0.000714571
103,2686.73,0.56576,0.31215,0.84455,0.99804,1,0.995,0.88004,0.58024,0.26848,0.84834,0.000707498,0.000707498,0.000707498
104,2712.96,0.56207,0.30998,0.84603,0.99596,0.99875,0.995,0.88306,0.57768,0.26826,0.85247,0.000700424,0.000700424,0.000700424
105,2739.33,0.56505,0.31173,0.84613,0.99584,0.99875,0.99491,0.88264,0.5784,0.26559,0.85157,0.000693351,0.000693351,0.000693351
106,2765.65,0.55966,0.30576,0.84388,0.9982,0.9975,0.995,0.8753,0.59006,0.26943,0.85842,0.000686277,0.000686277,0.000686277
107,2791.9,0.55614,0.30847,0.84051,0.99699,0.99875,0.99499,0.88074,0.58903,0.26993,0.85618,0.000679204,0.000679204,0.000679204
108,2818.08,0.55535,0.3047,0.84312,0.99538,0.99983,0.995,0.88622,0.56633,0.2602,0.84965,0.00067213,0.00067213,0.00067213
109,2844.11,0.55127,0.29966,0.84138,0.99942,0.99875,0.995,0.88287,0.57543,0.26385,0.848,0.000665057,0.000665057,0.000665057
110,2870.05,0.55171,0.30305,0.8439,0.99688,0.99937,0.99499,0.88408,0.5785,0.26238,0.84771,0.000657983,0.000657983,0.000657983
111,2895.94,0.55243,0.30418,0.84358,0.99572,0.99988,0.995,0.87987,0.59431,0.2685,0.85068,0.000650909,0.000650909,0.000650909
112,2921.9,0.5446,0.29904,0.83977,0.99687,0.99875,0.99499,0.8862,0.56022,0.25781,0.84284,0.000643836,0.000643836,0.000643836
113,2947.95,0.55182,0.30493,0.84482,0.99833,0.99982,0.995,0.8804,0.57375,0.26205,0.85032,0.000636762,0.000636762,0.000636762
114,2974.27,0.54831,0.30078,0.84108,0.99912,0.99875,0.995,0.89176,0.55003,0.25715,0.83971,0.000629689,0.000629689,0.000629689
115,3001,0.54799,0.30616,0.84503,0.99964,0.99873,0.995,0.88365,0.57363,0.26256,0.84524,0.000622615,0.000622615,0.000622615
116,3027.1,0.53896,0.3008,0.839,0.99819,0.99958,0.99499,0.89051,0.5623,0.25917,0.84502,0.000615542,0.000615542,0.000615542
117,3053.26,0.54044,0.29682,0.83941,0.99802,0.99954,0.99459,0.88982,0.5609,0.25788,0.84748,0.000608468,0.000608468,0.000608468
118,3079.39,0.54266,0.29905,0.83474,0.99699,1,0.99479,0.88296,0.57626,0.26233,0.85934,0.000601395,0.000601395,0.000601395
119,3105.55,0.53465,0.29019,0.83622,0.9982,0.99875,0.995,0.88958,0.5578,0.2542,0.84668,0.000594321,0.000594321,0.000594321
120,3131.82,0.5354,0.29407,0.83572,0.99854,0.99742,0.995,0.88453,0.57504,0.26007,0.85349,0.000587248,0.000587248,0.000587248
121,3157.87,0.54444,0.29756,0.83769,0.99929,0.99875,0.995,0.88755,0.56785,0.25911,0.85031,0.000580174,0.000580174,0.000580174
122,3184.09,0.53125,0.29129,0.83784,0.99886,0.99837,0.995,0.88045,0.57669,0.25906,0.84753,0.0005731,0.0005731,0.0005731
123,3210.44,0.53469,0.29168,0.83913,0.99746,0.99763,0.995,0.88414,0.56633,0.26174,0.84532,0.000566027,0.000566027,0.000566027
124,3236.95,0.54082,0.29725,0.84317,0.99872,0.9975,0.995,0.88546,0.57298,0.25723,0.85223,0.000558953,0.000558953,0.000558953
125,3262.97,0.52672,0.28512,0.84089,0.99756,0.9975,0.995,0.88787,0.56472,0.25593,0.85066,0.00055188,0.00055188,0.00055188
126,3289.14,0.52527,0.2855,0.83759,0.99829,0.99875,0.995,0.89122,0.55637,0.25142,0.84687,0.000544806,0.000544806,0.000544806
127,3315.48,0.52905,0.29317,0.8397,0.99928,0.99875,0.995,0.88972,0.55583,0.25294,0.84681,0.000537733,0.000537733,0.000537733
128,3341.43,0.52144,0.28573,0.83202,0.99648,0.99875,0.995,0.88319,0.56578,0.25192,0.85304,0.000530659,0.000530659,0.000530659
129,3367.44,0.52345,0.28711,0.83587,0.99817,0.99844,0.99499,0.88495,0.57085,0.25318,0.85469,0.000523586,0.000523586,0.000523586
130,3393.67,0.52466,0.2849,0.8379,0.99933,0.99896,0.995,0.88617,0.56638,0.25301,0.85077,0.000516512,0.000516512,0.000516512
131,3419.87,0.52082,0.28409,0.83546,0.99932,0.99875,0.995,0.89242,0.55161,0.24912,0.84481,0.000509438,0.000509438,0.000509438
132,3446.17,0.51208,0.28288,0.83325,0.99922,0.99875,0.995,0.88973,0.55606,0.25279,0.84551,0.000502365,0.000502365,0.000502365
